Variable:,tas
Country:,Russia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1981,-21.23,-21.17,-15.40,-4.03,4.40,12.67,15.20,13.38,6.07,-3.03,-14.97,-19.95
1982,-26.55,-21.01,-16.72,-3.03,4.11,11.11,15.18,12.39,6.36,-5.84,-15.78,-19.63
1983,-21.27,-21.30,-13.25,-5.39,3.67,11.39,15.00,13.00,7.02,-3.24,-12.99,-19.11
1984,-21.69,-23.42,-14.75,-7.21,5.66,12.01,15.40,12.04,6.44,-4.22,-17.89,-24.51
1985,-26.76,-25.27,-16.06,-5.08,3.26,11.72,14.21,12.78,6.41,-3.47,-14.32,-22.81
1986,-24.63,-21.98,-14.00,-4.40,3.48,12.07,15.03,12.42,5.87,-3.09,-13.63,-23.92
1987,-27.85,-22.57,-16.63,-6.96,4.00,10.80,14.88,12.66,5.66,-4.06,-19.60,-23.70
1988,-23.65,-23.16,-14.72,-5.11,4.28,12.25,16.03,12.88,7.33,-2.37,-14.76,-19.50
1989,-23.99,-17.74,-10.96,-5.35,4.99,12.25,15.25,12.53,6.28,-3.29,-15.54,-20.71
1990,-26.31,-20.71,-9.61,-2.76,5.65,12.44,15.63,13.06,5.67,-2.72,-15.62,-20.87
1991,-22.70,-22.70,-16.64,-3.26,5.18,12.51,16.15,13.16,7.06,-2.17,-13.42,-23.14
1992,-22.13,-20.16,-14.21,-6.28,5.17,10.82,14.57,12.33,5.45,-4.48,-17.63,-20.65
1993,-21.76,-19.24,-13.03,-5.38,4.20,11.76,15.62,12.44,5.32,-3.81,-17.22,-22.77
1994,-24.90,-23.85,-14.50,-4.31,3.91,12.32,15.09,12.39,7.07,-1.61,-15.75,-23.38
1995,-21.50,-16.53,-12.96,-2.93,4.74,12.12,15.25,13.67,6.97,-1.80,-13.04,-20.95
1996,-24.36,-21.42,-14.13,-5.48,4.91,11.49,15.92,12.01,4.95,-3.52,-13.46,-22.61
1997,-24.62,-20.99,-12.53,-1.52,5.17,12.08,14.70,13.01,6.56,-1.62,-16.07,-24.10
1998,-25.08,-22.22,-13.95,-5.96,3.60,12.65,16.60,13.78,5.54,-4.56,-19.26,-21.62
1999,-24.57,-20.36,-18.73,-4.96,4.44,11.81,16.25,12.44,6.27,-2.80,-15.98,-19.49
2000,-25.47,-19.79,-13.24,-2.23,4.94,12.98,15.51,13.50,6.53,-4.21,-17.24,-24.09
2001,-26.21,-23.55,-14.54,-4.10,5.76,12.85,16.25,13.64,6.15,-3.74,-12.33,-22.70
2002,-22.23,-18.80,-10.73,-4.36,5.07,12.84,16.15,13.17,6.63,-3.91,-14.99,-25.71
2003,-23.68,-21.86,-13.08,-4.20,5.32,11.98,15.86,13.88,7.56,-2.21,-15.75,-18.69
2004,-22.91,-21.43,-14.32,-5.39,4.77,12.13,15.50,12.64,7.00,-3.39,-12.42,-24.07
2005,-22.01,-23.58,-14.51,-3.83,6.12,12.74,16.21,13.21,8.09,-1.25,-11.76,-21.36
2006,-28.23,-22.87,-14.48,-6.77,4.67,13.44,15.31,12.89,7.61,-3.71,-14.62,-18.99
2007,-18.72,-23.40,-12.83,-1.55,5.55,12.10,16.06,14.23,7.64,-1.39,-13.40,-19.60
2008,-23.96,-19.47,-10.46,-4.51,5.04,12.58,15.63,13.44,6.47,-0.82,-12.65,-20.58
2009,-23.26,-24.51,-14.22,-3.26,4.80,12.36,15.23,12.96,7.77,-2.03,-16.03,-24.56
2010,-26.59,-24.99,-15.33,-4.45,6.30,13.02,16.37,13.70,6.65,-2.41,-12.13,-23.64
2011,-23.94,-23.29,-11.43,-1.62,5.83,13.50,16.21,13.28,6.88,-0.94,-14.90,-20.01
2012,-24.02,-22.78,-15.30,-2.43,6.40,13.99,16.55,12.94,7.81,-2.19,-13.69,-24.37
2013,-25.30,-22.01,-16.50,-2.87,6.16,13.10,15.85,13.66,6.16,-3.06,-10.72,-17.43
2014,-25.47,-22.22,-10.56,-1.63,5.90,12.57,15.31,14.08,6.50,-3.85,-14.47,-19.99
2015,-21.94,-18.01,-11.57,-3.22,5.89,13.51,15.56,13.23,7.36,-2.99,-14.65,-18.52
2016,-23.34,-17.89,-11.30,-1.69,5.51,13.55,16.40,14.19,8.18,-3.79,-16.52,-22.11
2017,-22.68,-19.32,-8.84,-2.47,4.20,12.76,15.49,14.07,6.67,-2.91,-13.38,-19.27
2018,-22.72,-20.79,-15.24,-2.97,4.82,13.32,15.75,13.82,7.93,0.18,-14.25,-21.69
2019,-22.39,-19.89,-10.32,-2.42,5.72,13.48,15.59,13.65,7.29,-1.33,-14.50,-20.03
2020,-19.05,-16.68,-9.63,-1.10,6.74,13.25,16.23,13.60,8.56,-1.14,-10.40,-21.48
2021,-26.55,-23.48,-13.79,-2.84,6.63,13.79,16.49,14.42,6.51,-1.57,-12.53,-22.09
